Archivo;Tamaño(K);Cant Palabras Inicial;Cant Palabras depuradas;Vocabulario Inicial;Vocabulario Final
1205.3576.txt;36;5951;5477;1242;756
1304.6116.txt;107;20634;16154;1717;954
1509.02223.txt;72;12710;10474;2044;1302
1409.8580.txt;60;11376;8562;1365;857
1510.08983.txt;27;4386;3908;1099;740
1310.0833.txt;60;11390;9880;1150;695
1307.0426.txt;87;13910;12103;2255;1345
1203.6152.txt;42;8081;6662;1103;681
1307.2783.txt;96;17088;13779;2055;1277
1505.02348.txt;25;3951;2808;853;539
1511.01807.txt;83;16754;13153;1820;1111
1502.04382.txt;103;20625;16544;1802;1098
1401.2411.txt;130;23350;18533;2156;1305
1506.08238.txt;59;10391;7968;1563;919
1312.2048.txt;63;9952;9437;2459;1566
1506.06011.txt;36;7080;5232;999;632
1508.03269.txt;52;8810;8092;1639;1061
1505.00199.txt;80;13725;11062;1882;1151
1411.1751.txt;93;19004;13922;1734;1098
1511.00546.txt;53;10665;7717;1289;803
1403.1639.txt;82;15472;12332;2019;1238
1502.01410.txt;71;11677;10497;2085;1238
1511.03518.txt;30;4991;4299;1092;716
1510.08202.txt;56;10249;8486;1524;893
1307.7430.txt;105;22318;16079;1574;986
1305.7514.txt;20;3502;2776;784;527
1409.3954.txt;56;10508;8251;1319;820
1501.06076.txt;95;22071;15514;892;508
1506.08009.txt;73;12243;11028;1896;1183
0903.4386.txt;116;23759;18060;1628;946
1404.5029.txt;85;14823;12885;1892;1127
1206.1775.txt;96;18015;15356;2001;1176
1506.04773.txt;47;9396;7195;1034;637
1310.8097.txt;43;7360;6457;1423;898
1306.2476.txt;72;12364;9900;1732;1026
1102.4802.txt;26;5366;4212;505;297
1306.1167.txt;47;8827;6734;1250;774
1508.01993.txt;37;5433;4877;1383;840
1202.3538.txt;160;30873;24191;2338;1340
1311.1339.txt;29;5576;4498;1010;637
1208.0713.txt;99;20044;17025;1502;903
1510.05751.txt;81;14130;11321;1600;972
1507.03344.txt;4;685;559;165;87
